region,case_number,case_id,method,expected_names
face,26,case026,FFOCT,"['FFOCTface26', 'ffoctface26', 'FFOCT26', 'ffoct26']"
face,27,case027,SSOCT,"['SSOCT27', 'ssoct27', 'SSOCTface27', 'ssoctface27']"
face,27,case027,CycleGAN,"['cycleganface27', 'CycleGANface27', 'cyclegan27', 'CycleGAN27']"
face,27,case027,FUSRGAN,"['fusrganface27', 'FUSRGANface27', 'fusrgan27', 'FUSRGAN27']"
face,27,case027,OUR,"['ourface27', 'OURface27', 'our27', 'OUR27']"
face,27,case027,FFOCT,"['FFOCTface27', 'ffoctface27', 'FFOCT27', 'ffoct27']"
face,28,case028,SSOCT,"['SSOCT28', 'ssoct28', 'SSOCTface28', 'ssoctface28']"
face,28,case028,CycleGAN,"['cycleganface28', 'CycleGANface28', 'cyclegan28', 'CycleGAN28']"
face,28,case028,FUSRGAN,"['fusrganface28', 'FUSRGANface28', 'fusrgan28', 'FUSRGAN28']"
face,28,case028,OUR,"['ourface28', 'OURface28', 'our28', 'OUR28']"
face,28,case028,FFOCT,"['FFOCTface28', 'ffoctface28', 'FFOCT28', 'ffoct28']"
face,29,case029,SSOCT,"['SSOCT29', 'ssoct29', 'SSOCTface29', 'ssoctface29']"
face,29,case029,CycleGAN,"['cycleganface29', 'CycleGANface29', 'cyclegan29', 'CycleGAN29']"
face,29,case029,FUSRGAN,"['fusrganface29', 'FUSRGANface29', 'fusrgan29', 'FUSRGAN29']"
face,29,case029,OUR,"['ourface29', 'OURface29', 'our29', 'OUR29']"
face,29,case029,FFOCT,"['FFOCTface29', 'ffoctface29', 'FFOCT29', 'ffoct29']"
face,30,case030,SSOCT,"['SSOCT30', 'ssoct30', 'SSOCTface30', 'ssoctface30']"
face,30,case030,CycleGAN,"['cycleganface30', 'CycleGANface30', 'cyclegan30', 'CycleGAN30']"
face,30,case030,FUSRGAN,"['fusrganface30', 'FUSRGANface30', 'fusrgan30', 'FUSRGAN30']"
face,30,case030,OUR,"['ourface30', 'OURface30', 'our30', 'OUR30']"
face,30,case030,FFOCT,"['FFOCTface30', 'ffoctface30', 'FFOCT30', 'ffoct30']"
